"type","make","model","parent_generation"
"SUV Covers","Toyota","Corolla Cross Hybrid","2023-2025"
"SUV Covers","Toyota","Highlander Hybrid","2006-2013"
"SUV Covers","Toyota","Highlander Hybrid","2014-2024"
"SUV Covers","Toyota","Land Cruiser","1959-1960"
"SUV Covers","Toyota","Land Cruiser","1967-2007"
"SUV Covers","Toyota","Land Cruiser","2008-2024"
"SUV Covers","Toyota","RAV4 Hybrid","2016-2024"
"SUV Covers","Toyota","RAV4 Prime","2021-2024"
"SUV Covers","Toyota","Sequoia","2001-2025"
"SUV Covers","Toyota","bZ4X","2023-2025"
"SUV Covers","Volkswagen","Atlas","2018-2024"
"SUV Covers","Volkswagen","Taos","2021-2024"
"SUV Covers","Volvo","C40 Recharge","2022-2024"
"SUV Covers","Volvo","XC40","2019-2024"
"SUV Covers","Volvo","XC40 Recharge","2021-2024"
"SUV Covers","Volvo","XC60","2010-2024"
"SUV Covers","Volvo","XC60 Recharge","2021-2024"
"SUV Covers","Volvo","XC90 Recharge","2021-2024"
"Truck Covers","Dodge","Dakota","1987-1996"
"Truck Covers","Dodge","Dakota","1997-2004"
"Truck Covers","Ford","F-100","1953-1956"
"Truck Covers","Ford","F-100","1957-1960"
"Truck Covers","Ford","F-100","1961-1966"
"Truck Covers","Ford","F-100","1967-1972"
"Truck Covers","Ford","F-250","1953-1956"
"Truck Covers","Ford","F-250","1957-1960"
"Truck Covers","Ford","F-250","1961-1966"
"Truck Covers","Ford","F-250","1967-1972"
"Truck Covers","Ford","F-350","1953-1956"
"Truck Covers","Ford","F-350","1957-1960"
"Truck Covers","Ford","F-350","1961-1966"
"Truck Covers","Ford","F-350","1967-1972"
"Truck Covers","Ford","F-350","1973-1979"
"Truck Covers","Ford","F-350","1980-1986"
"Truck Covers","Ford","F-350","1987-1991"
"Truck Covers","Ford","F-350","1992-1998"
"Truck Covers","Ford","F-350 Super Duty","1999-2007"
"Truck Covers","Ford","F-350 Super Duty","2008-2010"
"Truck Covers","Ford","F-350 Super Duty","2011-2016"
"Truck Covers","Ford","F-350 Super Duty","2017-2024"
"Truck Covers","Ford","F-450 Super Duty","2008-2023"
"Truck Covers","Ford","F1","1948-1952"
"Truck Covers","Ford","F2","1948-1952"
"Truck Covers","Ford","F3","1948-1952"
"Truck Covers","Ford","Maverick","2022-2024"
"Truck Covers","Ford","Ranger","1983-1992"
"Truck Covers","Ford","Ranger","1993-2011"
"Truck Covers","Ford","Ranger","2019-2024"
"Truck Covers","Ford","Ranger Raptor","2019-2024"
"Truck Covers","GMC","Canyon","2004-2012"
"Truck Covers","GMC","Canyon","2015-2024"
"Truck Covers","GMC","Sierra 1500","1988-1998"
"Truck Covers","GMC","Sierra 1500","1999-2013"
"Truck Covers","GMC","Sierra 1500","2014-2018"
"Truck Covers","GMC","Sierra 1500","2019-2024"
"Truck Covers","GMC","Sierra 1500HD","2001-2007"
"Truck Covers","GMC","Sierra 2500","1999-2004"
"Truck Covers","GMC","Sierra 2500HD","2001-2006"
"Truck Covers","GMC","Sierra 2500HD","2007-2014"
"Truck Covers","GMC","Sierra 2500HD","2015-2019"
"Truck Covers","GMC","Sierra 2500HD","2020-2024"
"Truck Covers","GMC","Sierra 3500HD","2001-2006"
"Truck Covers","GMC","Sierra 3500HD","2007-2014"
"Truck Covers","GMC","Sierra 3500HD","2015-2019"
"Truck Covers","GMC","Sierra 3500HD","2020-2024"
"Truck Covers","GWM","Cannon L 4x4","2021-2024"
"Truck Covers","GWM","Ute Cannon-X 4x4","2021-2024"
"Truck Covers","Holden","Colorado SportsCat","2018-2023"
"Truck Covers","Honda","Ridgeline","2006-2014"
"Truck Covers","Honda","Ridgeline","2017-2024"
"Truck Covers","Hyundai","Santa Cruz","2022-2024"
"Truck Covers","LDV","T60","2020-2024"
"Truck Covers","Nissan","Frontier","1998-2000"
"Truck Covers","Nissan","Frontier","2000-2004"
"Truck Covers","Nissan","Frontier","2005-2024"
"Truck Covers","Nissan","Titan","2004-2015"
"Truck Covers","Nissan","Titan","2017-2024"
"Truck Covers","RAM","1500","2011-2018"
"Truck Covers","RAM","1500","2019-2024"
"Truck Covers","RAM","1500 Classic","2019-2024"
"Truck Covers","RAM","1500 TRX","2020-2024"
"Truck Covers","RAM","2500","2011-2018"
"Truck Covers","RAM","2500","2019-2024"
"Truck Covers","RAM","3500","2011-2024"
"Truck Covers","Rivian","R1T","2022-2024"
"Truck Covers","Toyota","Tacoma","1995-2004"
"Truck Covers","Toyota","Tacoma","2005-2015"
"Truck Covers","Toyota","Tacoma","2016-2023"
"Truck Covers","Toyota","Tundra","2000-2006"
"Truck Covers","Toyota","Tundra","2007-2013"
"Truck Covers","Toyota","Tundra","2014-2021"
"Truck Covers","Toyota","Tundra","2022-2024"
